candidate_no,phrase,content_window,mechanism,tone_shade,source_type,source_work,source_creator,source_url,risk_note,status,review_note
37,旧风扇咳嗽,late_summer,strange_compound,dark,original,,,,,pending,
38,冰水结白雾,late_summer,life_slice,light,original,,,,,pending,
39,伞骨滴到家,late_summer,life_slice,light,original,,,,,pending,
40,回程比来时短一站,late_summer,abstract_compression,dark,original,,,,,pending,
41,街角炸物香,evergreen,life_slice,light,original,,,,,pending,
42,蝉蜕挂纱窗,late_summer,life_slice,dark,original,,,,,pending,
43,七点仍像六点,late_summer,abstract_compression,light,original,,,,,pending,
44,牙刷并排未干,evergreen,life_slice,light,original,,,,,pending,
45,冰袋贴着膝弯,late_summer,life_slice,light,original,,,,,pending,
46,孤独海怪,evergreen,strange_compound,dark,user_seed,秦皇岛,发行/表演名义：万能青年旅店；词作者：姬赓,https://music.apple.com/cn/album/%E7%A7%A6%E7%9A%87%E5%B2%9B/1538548871?i=1538548884,用户提供的截断歌词致敬；商业使用前需复核歌词版权与授权风险。,pending,
47,书页有汗印,late_summer,life_slice,light,original,,,,,pending,
48,门轻响,evergreen,life_slice,light,original,,,,,pending,
49,余热折进回程车票,late_summer,abstract_compression,light,original,,,,,pending,
50,窗纱贴着夜,late_summer,life_slice,dark,original,,,,,pending,
51,果皮亮到晚,late_summer,life_slice,light,original,,,,,pending,
52,湿发凉,late_summer,life_slice,light,original,,,,,pending,
53,菜场剩蝉声,late_summer,life_slice,dark,original,,,,,pending,
54,拉链咬住湿衫角,late_summer,life_slice,light,original,,,,,pending,
55,拖鞋少一只,evergreen,life_slice,dark,original,,,,,pending,
56,空调水滴上车窗,late_summer,life_slice,light,original,,,,,pending,
57,衬衫先凉了,late_summer,life_slice,light,original,,,,,pending,
58,两个人隔着一盏灯,evergreen,abstract_compression,dark,original,,,,,pending,
59,雨声折返,late_summer,strange_compound,light,original,,,,,pending,
60,售票窗半开,evergreen,life_slice,dark,original,,,,,pending,
61,凉席翻个面,late_summer,life_slice,light,original,,,,,pending,
62,鞋底带回雨,late_summer,life_slice,light,original,,,,,pending,
63,薄被刚够冷,late_summer,life_slice,light,original,,,,,pending,
64,塑料扇粘手心,late_summer,life_slice,light,original,,,,,pending,
65,晚饭等天黑,late_summer,life_slice,light,original,,,,,pending,
66,电话亮又暗,evergreen,life_slice,dark,original,,,,,pending,
67,熟桃压软纸,late_summer,life_slice,light,original,,,,,pending,
68,暑气未散火车已开,late_summer,life_slice,light,original,,,,,pending,
69,距离只剩关门声,evergreen,abstract_compression,dark,original,,,,,pending,
70,瓷砖凉脚心,late_summer,life_slice,light,original,,,,,pending,
71,行李轮碾过树荫,late_summer,life_slice,light,original,,,,,pending,
72,夜市收摊迟,late_summer,life_slice,dark,original,,,,,pending,
73,窗帘留条缝,evergreen,life_slice,light,original,,,,,pending,
74,雨水漫到鞋带边,late_summer,life_slice,dark,original,,,,,pending,
75,蝉声稀,late_summer,life_slice,light,original,,,,,pending,
76,囿于昼夜,evergreen,abstract_compression,dark,user_seed,揪心的玩笑与漫长的白日梦,发行/表演名义：万能青年旅店；词作者：姬赓,https://music.apple.com/cn/album/%E6%8F%AA%E5%BF%83%E7%9A%84%E7%8E%A9%E7%AC%91%E4%B8%8E%E6%BC%AB%E9%95%BF%E7%9A%84%E7%99%BD%E6%97%A5%E6%A2%A6/1538548871?i=1538548881,用户提供的截断歌词致敬；商业使用前需复核歌词版权与授权风险。,pending,
77,风扇吹旧报,late_summer,life_slice,light,original,,,,,pending,
78,校服后背盐花,late_summer,life_slice,light,original,,,,,pending,
79,一夜短过蝉鸣,late_summer,abstract_compression,dark,original,,,,,pending,
80,饭桌剩半瓜,late_summer,life_slice,light,original,,,,,pending,
81,袖口留着凉,late_summer,life_slice,light,original,,,,,pending,
82,路灯早半步,late_summer,abstract_compression,light,original,,,,,pending,
83,信箱积了灰,evergreen,life_slice,dark,original,,,,,pending,
84,蚊帐兜住热,late_summer,life_slice,light,original,,,,,pending,
85,夜班的空瓶,evergreen,life_slice,dark,original,,,,,pending,
86,桃子藏火,late_summer,strange_compound,light,original,,,,,pending,
87,楼道收雨气,late_summer,life_slice,light,original,,,,,pending,
88,衣架多一个,evergreen,life_slice,light,original,,,,,pending,
89,雷声停楼顶,late_summer,life_slice,dark,original,,,,,pending,
90,旧钟慢两分,evergreen,life_slice,light,original,,,,,pending,
