id,phrase,english,sourceTheme,evidence,sourceId,sourceCategory,rightsStatus,reviewBasis,decision,reviewCode,lifecycle,proposedPhrase,proposedEnglish,editorialTheme,emotionTheme,semanticCluster,cadenceGroup,englishStatus,dispatchStatus,dispatchConstraint,reviewerNote,reviewReason
sb_65,全能小天才,Little prodigy,身份自夸,reported_example,S10,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_social,approved,rule,[],有莫名喜感,保留：短句自然，有人味，能在静屏上独立成立
sb_66,甩碗米线,Tossed bowl noodles,食物奇趣,reported_example,S11,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,awkward_or_generic,retired,,,daily_observation,daily_romance,daily_observation,short_plain,archived,rule,[],,退出：表达生硬、偏泛或缺少可感知的画面与关系
sb_67,冲鸭冲鸭,Go go duck!,网络鼓励,reported_example,S11,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_social,approved,rule,[],有莫名喜感,保留：短句自然，有人味，能在静屏上独立成立
sb_68,诸事皆宜,An auspicious day for all things,好运祝福,reported_image,S12,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,blessing_wish,blessing_parallel,approved,manual,"[""festival:spring_festival""]",春节限定,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_69,水逆绕行,"Mercury, step aside",转运祝福,reported_image,S12,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,daily_observation,short_blessing,approved,rule,[],,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_70,快乐一夏,Summer of joy,夏日祝福,reported_image,S12,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,short_blessing,approved,rule,"[""season:summer""]",谐音梗 和夏天契合,保留：具体物象和季节触感能独立承载情绪
sb_71,赐予你力量,Power granted you,鼓励祝福,reported_image,S12,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,blessing,luck_blessing,daily_observation,medium_state,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_73,美式发生,Americano happens,咖啡谐音与好运,reported_order,S13,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,daily_observation,daily_romance,daily_observation,short_blessing,approved,rule,[],谐音梗,保留：短句自然，有人味，能在静屏上独立成立
sb_74,莫愁前路无知己,Friends await along the road,前路安慰,reported_ugc,S13,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,departure,gentle_departure,departure_motion,stance_sentence,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_76,浪漫不止,Romance unending,浪漫祝福,reported_ugc,S14,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,awkward_or_generic,retired,,,blessing,luck_blessing,distance_landscape,stance_short,archived,rule,[],,退出：表达生硬、偏泛或缺少可感知的画面与关系
sb_77,好事将至,Good things are on their way,好运预告,reported_ugc,S14,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,soft_hope,soft_hope,hope_arrival,process_arrival,approved,rule,[],,保留：关系或过程表达自然，仍给读者留下投射空间
sb_78,新年有新意,"Fresh year, fresh spark",新年祝福,reported_ugc,S14,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,time_reflection,time_observation,approved,manual,"[""festival:spring_festival""]",春节限定,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_80,五月被期待填满,"May, full of hope",月份希望,reported_ugc,S14,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,awkward_or_generic,retired,,,soft_hope,soft_hope,hope_arrival,process_arrival,archived,rule,"[""month:5""]",,退出：表达生硬、偏泛或缺少可感知的画面与关系
sb_81,厉害了爹地们,Dads on fire,称呼玩梗,reported_ugc,S14,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_social,approved,manual,"[""festival:father_day""]",父亲节当天限定,保留：短句自然，有人味，能在静屏上独立成立
sb_83,悄悄惊艳大家,Quietly dazzling all,学习鼓励,official_social,S15,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,悄悄惊艳,Quietly dazzling,daily_observation,daily_romance,daily_observation,short_state,approved,rule,[],「悄悄惊艳」,保留：短句自然，有人味，能在静屏上独立成立
sb_91,自由是终极魔法,"Freedom, final magic",哈利波特联名,image_verified,S16,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,daily_observation,daily_romance,self_stance,medium_plain,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_93,向上生长,Growing upward,成长鼓励,social_text,S18,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,departure,gentle_departure,daily_observation,departure_action,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_94,今天的你赞赞赞,Triple thumbs-up today,夸赞鼓励,image_verified,S19,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,daily_observation,daily_romance,daily_observation,medium_state,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_95,万事皆合时宜,All in season,顺遂祝福,image_verified,S20,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,daily_observation,blessing_parallel,approved,rule,[],,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_96,赤诚亦勇敢,Wholehearted and brave,人格鼓励,image_verified,S20,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,self_stance,light_comfort,daily_observation,relational_phrase,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_99,新年万事定称心,"New year, heart's desire",新年祝福,image_verified,S21,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,time_reflection,time_observation,approved,manual,"[""festival:spring_festival""]",春节期间限定,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_100,挂霜予你,Frost for you,秋季温柔,image_verified,S22,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,short_image,approved,manual,"[""season:autumn"", ""season:winter"", ""weather:snow""]",,保留：具体物象和季节触感能独立承载情绪
sb_101,新春开门红,Spring opens red-hot,新年祝福,social_text,S23,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,medium_blessing,approved,manual,"[""festival:spring_festival""]",春节期间限定,保留：具体物象和季节触感能独立承载情绪
sb_102,诸事皆顺,May all go smoothly,顺遂祝福,social_text,S24,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,awkward_or_generic,retired,,,blessing,luck_blessing,blessing_wish,blessing_parallel,archived,rule,[],,退出：表达生硬、偏泛或缺少可感知的画面与关系
sb_103,take it easy.,Take it easy.,英文鼓励,social_text,S25,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_latin,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_104,be real.,Be real.,英文鼓励,social_text,S25,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_latin,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_105,good vibes.,Good vibes.,英文祝福,social_text,S25,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_latin,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_106,dare to dream.,Dare to dream.,英文鼓励,social_text,S25,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_latin,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_107,每一次全力以赴,"Every effort, whole heart",努力鼓励,social_text,S26,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,daily_observation,daily_romance,daily_observation,medium_state,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_108,愿将来胜过往,May tomorrow outshine yesterday,未来祝福,social_text,S26,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,soft_hope,soft_hope,daily_observation,medium_action,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_109,为热爱 敢上场,"For love, take the field",热爱鼓励,social_text,S26,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,connection,daily_romance,connection,medium_state,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_111,硕果累累,Heavy with fruit,收获祝福,social_text,S26,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,daily_observation,short_blessing,approved,rule,[],,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_112,记得微笑,Let the smile come,日常提醒,social_text,S27,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,directive_or_preachy,retired,,,daily_observation,daily_romance,daily_observation,short_plain,archived,rule,[],,退出：命令、训诫或自我管理口吻过强，替读者下结论
sb_113,事缓则圆,"With patience, things find their shape",从容劝慰,social_text,S28,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,rest,light_comfort,rest_pause,rest_state,approved,rule,[],,保留：给出轻安顿或时间观察，没有要求读者表态
sb_116,适时转弯,Turn in good time,从容劝慰,image_verified,S30,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,rest,light_comfort,daily_observation,short_state,approved,rule,[],,保留：给出轻安顿或时间观察，没有要求读者表态
sb_117,远方很美,The far horizon is beautiful,远方浪漫,image_verified,S31,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,departure,gentle_departure,distance_landscape,departure_action,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_118,烦恼消除术,Worry-dissolving spell,治愈劝慰,image_verified,S32,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,rest,light_comfort,daily_observation,medium_state,approved,rule,[],,保留：给出轻安顿或时间观察，没有要求读者表态
sb_121,做你自己就很好,"As you are, enough",自我肯定,social_text,S35,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,self_stance,light_comfort,self_stance,medium_state,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_122,清风为我翻书,A breeze turns the pages for me,文艺治愈,social_text,S36,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,awkward_or_generic,retired,,,landscape,daily_romance,sky_wind,relational_phrase,archived,rule,[],,退出：表达生硬、偏泛或缺少可感知的画面与关系
sb_123,心宽路则宽,"Wide heart, wide road",从容劝慰,social_text,S37,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,directive_or_preachy,retired,,,rest,light_comfort,departure_motion,medium_state,archived,rule,[],,退出：命令、训诫或自我管理口吻过强，替读者下结论
sb_124,天高任鸟飞,"Sky high, birds roam",自由鼓励,social_text,S38,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,landscape,daily_romance,sky_wind,medium_state,approved,rule,[],,保留：具体物象和季节触感能独立承载情绪
sb_125,重要的是出发,The first step matters,行动鼓励,social_text,S39,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,directive_or_preachy,retired,,,departure,gentle_departure,departure_motion,stance_sentence,archived,rule,[],,退出：命令、训诫或自我管理口吻过强，替读者下结论
sb_128,见面是最棒的事,Meeting beats all,相见温情,social_text,S41,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,duplicate,retired,,,connection,daily_romance,connection,medium_plain,archived,rule,[],,退出：与更自然或更有画面的保留条目语义重复
sb_129,新序章,A new chapter,新起点,social_text,S42,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,departure,gentle_departure,departure_motion,short_plain,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_130,宜相见,Meet today,相见温情,social_text,S43,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,duplicate,retired,,,connection,daily_romance,connection,blessing_parallel,archived,rule,[],,退出：与更自然或更有画面的保留条目语义重复
sb_131,轻松自在,Easy and free,从容治愈,social_text,S44,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,rest,light_comfort,rest_pause,rest_state,approved,rule,[],,保留：给出轻安顿或时间观察，没有要求读者表态
sb_132,惬意个登儿,Blissfully laid-back,方言口语,social_text,S45,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,context_or_ip_dependency,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：依赖身份、IP、联名、方言或网络语境，离开原场景后失真
sb_133,一路风光一路诗,"A scenic road, a line of verse",旅途浪漫,social_text,S46,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,landscape,daily_romance,sky_wind,landscape_image,approved,rule,[],,保留：具体物象和季节触感能独立承载情绪
sb_138,大有可为,So much is possible,未来鼓励,social_text,S49,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,daily_observation,daily_romance,daily_observation,short_state,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_140,自由在风里,Freedom rides the wind,自由浪漫,social_text,S51,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,答案在风中,The answer is in the wind,landscape,daily_romance,sky_wind,landscape_image,approved,rule,[],「答案在风中」,保留：具体物象和季节触感能独立承载情绪
sb_141,热烈自由,Fierce and free,自由鼓励,social_text,S52,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,daily_observation,daily_romance,self_stance,short_state,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_142,所行皆坦途,May every road be smooth,前路祝福,social_text,S53,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,awkward_or_generic,retired,,,soft_hope,soft_hope,daily_observation,blessing_parallel,archived,rule,[],,退出：表达生硬、偏泛或缺少可感知的画面与关系
