id,phrase,approx_period,theme,source_id,evidence,notes
52,年年皆胜意,2021,长久祝福,S09,reported_image,媒体配订单截图编号列举
53,暴富暴瘦暴酷,2021,夸张祝福,S09,reported_image,媒体配订单截图编号列举
54,扁担长板凳宽,2021,绕口令,S09,reported_image,媒体配订单截图编号列举
55,珊瑚海,2021,歌曲玩梗,S09,reported_image,媒体配订单截图编号列举
56,右手画彩虹,2021,歌词玩梗,S09,reported_image,媒体配订单截图编号列举
57,白胡子在路上,2021,奇趣想象,S09,reported_image,媒体配订单截图编号列举
58,笑出强大,2021,鼓励玩梗,S09,reported_image,媒体配订单截图编号列举
59,最靓的仔,2021,身份自夸,S09,reported_image,媒体配订单截图编号列举
60,Hi走啦,2021,口语玩梗,S09,reported_image,媒体配订单截图编号列举
61,是最喜欢的秋天啊,2021,秋季心情,S10,reported_example,营销分析文章列举
62,月光下的锦鲤,2021,好运浪漫,S10,reported_example,营销分析文章列举
63,奥力给,2021,网络流行语,S10,reported_example,与“奥利给”作为不同写法保留
64,天选之子,2021,好运身份,S10,reported_example,营销分析文章列举
65,全能小天才,2021,身份自夸,S10,reported_example,营销分析文章列举
66,甩碗米线,2021,食物奇趣,S11,reported_example,行业媒体列举
67,冲鸭冲鸭,2021,网络鼓励,S11,reported_example,行业媒体列举
68,诸事皆宜,2022,好运祝福,S12,reported_image,行业媒体正文列举并说明图源
69,水逆绕行,2022,转运祝福,S12,reported_image,行业媒体正文列举并说明图源
70,快乐一夏,2022,夏日祝福,S12,reported_image,行业媒体正文列举并说明图源
71,赐予你力量,2022,鼓励祝福,S12,reported_image,行业媒体正文列举并说明图源
72,召唤神龙,2022,奇幻玩梗,S12,reported_image,行业媒体正文列举并说明图源
73,美式发生,2023,咖啡谐音与好运,S13,reported_order,第一财经报道顾客获得的啡快口令
74,莫愁前路无知己,2023,前路安慰,S13,reported_ugc,第一财经转述网友晒单情境
75,远行是走近自己,2023,出行自省,S13,reported_ugc,第一财经转述网友晒单情境
76,浪漫不止,2024,浪漫祝福,S14,reported_ugc,行业媒体配小红书图列举
77,好事将至,2024,好运预告,S14,reported_ugc,行业媒体配小红书图列举
78,新年有新意,2024,新年祝福,S14,reported_ugc,行业媒体配小红书图列举
79,风和景明,2024,春日景象,S14,reported_ugc,行业媒体配小红书图列举
80,五月被期待填满,2024,月份希望,S14,reported_ugc,行业媒体配小红书图列举
81,厉害了爹地们,2024,称呼玩梗,S14,reported_ugc,行业媒体配小红书图列举
82,旅途如意,2025,出行祝福,S15,official_social,星巴克中国官方微博举例
83,悄悄惊艳大家,2025,学习鼓励,S15,official_social,星巴克中国官方微博举例
84,好运加满,2025,好运与杯饮,S15,official_social,星巴克中国官方微博举例
85,Dobby is free,2025,哈利波特联名,S16,reported_ugc,联名晒单报道；疑为联名阶段例外
86,霍格沃茨欢迎你,2025,哈利波特联名,S16,reported_ugc,联名晒单报道
87,握紧魔杖,2025,哈利波特联名,S16,reported_ugc,联名晒单报道
88,终将胜利,2025,哈利波特联名,S16,reported_ugc,联名晒单报道
89,左青龙右白虎,2026,江湖玩梗,S17,reported_example,行业媒体以顾客取单现场对话列举
90,闯入9¾站台,2025,哈利波特联名,S16,image_verified,媒体文章所嵌晒单图可清晰辨识
91,自由是终极魔法,2025,哈利波特联名,S16,image_verified,媒体文章所嵌晒单图可清晰辨识
92,常乐常安,2025,平安祝福,S18,social_text,微博用户正文明确写“今天的啡快口令是”
93,向上生长,2026,成长鼓励,S18,social_text,微博用户正文明确写“今日啡快口令”
94,今天的你赞赞赞,2026,夸赞鼓励,S19,image_verified,微博晒单原始订单图可清晰辨识
95,万事皆合时宜,2026,顺遂祝福,S20,image_verified,微博晒单原始订单图可清晰辨识
96,赤诚亦勇敢,2026,人格鼓励,S20,image_verified,微博晒单原始订单图可清晰辨识
97,永远风华正茂,2026,青春祝福,S20,image_verified,微博晒单原始订单图可清晰辨识
98,幸福加倍,2026,幸福祝福,S20,image_verified,微博晒单原始订单图可清晰辨识
99,新年万事定称心,2026,新年祝福,S21,image_verified,微博晒单杯贴原图可清晰辨识
100,挂霜予你,2025,秋季温柔,S22,image_verified,微博晒单杯贴原图可清晰辨识
101,新春开门红,2024,新年祝福,S23,social_text,正文以啡快口令送祝福语境列举
102,诸事皆顺,2026,顺遂祝福,S24,social_text,正文明确称与星巴克啡快口令一样
103,take it easy.,2026,英文鼓励,S25,social_text,正文明确称星巴克近期英文口令
104,be real.,2026,英文鼓励,S25,social_text,正文明确称星巴克近期英文口令
105,good vibes.,2026,英文祝福,S25,social_text,正文明确称星巴克近期英文口令
106,dare to dream.,2026,英文鼓励,S25,social_text,正文明确称星巴克近期英文口令
107,每一次全力以赴,2025,努力鼓励,S26,social_text,正文置于啡快口令能量引号组内
108,愿将来胜过往,2025,未来祝福,S26,social_text,正文置于啡快口令能量引号组内
109,为热爱 敢上场,2025,热爱鼓励,S26,social_text,正文置于啡快口令能量引号组内；保留正文空格
110,前行必有曙光,2025,前路鼓励,S26,social_text,正文置于啡快口令能量引号组内
111,硕果累累,2025,收获祝福,S26,social_text,正文置于啡快口令能量引号组内
112,记得微笑,2026,日常提醒,S27,social_text,正文明确写今天啡快口令
113,事缓则圆,2026,从容劝慰,S28,social_text,正文写购买咖啡所得口令
114,奔向幸福,2026,幸福祝福,S29,social_text,正文明确写当天啡快口令
115,花开地处,2026,待复核,S29,social_text_uncertain,按发布者正文原样收录；字面反常待从杯贴图核字
116,适时转弯,2026,从容劝慰,S30,image_verified,微博订单截图可清晰辨识
117,远方很美,2026,远方浪漫,S31,image_verified,微博晒单图中杯贴可清晰辨识
118,烦恼消除术,2026,治愈劝慰,S32,image_verified,微博订单截图可清晰辨识
119,不必逞强,2026,治愈劝慰,S33,social_text,正文明确写今天啡快口令
120,珍惜一切,2026,日常提醒,S34,social_text,正文明确写今天啡快口令
121,做你自己就很好,2026,自我肯定,S35,social_text,正文明确写今天啡快口令
122,清风为我翻书,2026,文艺治愈,S36,social_text,正文明确写啡快口令
123,心宽路则宽,2026,从容劝慰,S37,social_text,正文明确写今日啡快口令
124,天高任鸟飞,2026,自由鼓励,S38,social_text,正文明确写今天星巴克啡快口令
125,重要的是出发,2026,行动鼓励,S39,social_text,正文明确称为当月啡快口令
126,成为自己的玫瑰,2026,自我肯定,S39,social_text,正文明确称为当月啡快口令
127,最棒的自己,2026,自我肯定,S40,social_text,正文明确写今天的啡快口令
128,见面是最棒的事,2026,相见温情,S41,social_text,正文明确写今日份啡快口令
129,新序章,2026,新起点,S42,social_text,正文明确称为星巴克啡快取餐口令
130,宜相见,2026,相见温情,S43,social_text,正文明确写啡快口令
131,轻松自在,2026,从容治愈,S44,social_text,正文明确写今日啡快口令
132,惬意个登儿,2026,方言口语,S45,social_text,正文逐行列在今晚的啡快口令下
133,一路风光一路诗,2026,旅途浪漫,S46,social_text,正文转录订单完成通知中的口令
134,来了都是打工人,2026,城市口语,S47,social_text,正文称临走前啡快口令并以方括号列出
135,步履从容,2026,旅途祝愿,S48,social_text,正文明确写两人的啡快口令
136,一路向阳,2026,旅途祝愿,S48,social_text,正文明确写两人的啡快口令
137,不留遗憾,2026,人生鼓励,S49,social_text,正文明确写早上啡快口令
138,大有可为,2026,未来鼓励,S49,social_text,正文明确写另一单啡快口令
139,走过的是足迹,2026,行动鼓励,S50,social_text,正文明确写今天啡快口令
140,自由在风里,2026,自由浪漫,S51,social_text,正文明确写啡快口令刚好是
141,热烈自由,2026,自由鼓励,S52,social_text,正文明确写啡快口令
142,所行皆坦途,2026,前路祝福,S53,social_text,正文将其列为当天啡快口令
143,美好常在,2026,美好祝福,S54,social_text,正文话题语境下逐行写出口令
144,有趣有盼无忧虑,2026,生活祝福,S55,social_text,正文明确称喜欢这个口令
145,万事皆顺意,2025,美好祝福,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
146,大声称赞自己,2025,自我肯定,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
147,卓然前行,2025,行动鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
148,思路清晰,2025,状态鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
149,愿前程可奔赴,2025,前路祝福,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
150,爱人间烟火,2025,生活浪漫,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
151,状态不掉线,2025,状态鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
152,生活向美而生,2025,生活浪漫,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
153,所念皆所愿,2025,美好祝福,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
154,有诗有远方,2025,生活浪漫,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
155,无往而不胜,2025,行动鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
156,开启高光模式,2025,状态鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
157,总有人正年轻,2025,人生感怀,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
158,每一刻充满可能,2025,行动鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
159,知足且坚定,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
160,努力的样子很酷,2025,行动鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
161,只记欢喜不记忧,2025,治愈劝慰,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
162,夏天拍了拍你,2025,季节画面,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
163,心之所愿定如愿,2025,美好祝福,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
164,鸟语花香,2025,季节画面,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
165,前行有曙光,2025,行动鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
166,大笑是困难解药,2025,治愈劝慰,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
167,别错过天边彩虹,2025,治愈劝慰,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
168,尽情享受世界,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
169,去踏千重浪,2025,行动鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
170,不问结果,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
171,心动由己,2025,自我肯定,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
172,不留憾,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
173,万物热情开朗,2025,生活浪漫,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
174,爱，不止此刻,2025,情感表达,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
175,心向旷野,2025,自由浪漫,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
176,恰到好处,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
177,喝着咖啡吹着风,2025,生活浪漫,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
178,一切皆有可能,2025,状态鼓励,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
179,花自向阳开,2025,季节画面,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
180,万事明朗,2025,美好祝福,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
181,抬头望天接好运,2025,美好祝福,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
182,随遇 随喜 随安,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
183,期待新的故事,2025,美好祝福,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
184,今日最佳,2025,自我肯定,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
185,给生活一点留白,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
186,忙有度 闲有趣,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
187,去有风的地方,2025,自由浪漫,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
188,小满胜万全,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
189,恰逢好事,2025,美好祝福,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
190,你值得玫瑰,2025,自我肯定,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
191,永远在你身边,2025,情感表达,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
192,来参加魔法晚宴,2025,联名主题,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
193,霍格沃茨永不毕业,2025,联名主题,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
194,被礼物包围,2025,节日祝福,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
195,慢下来看世界,2025,生活态度,S56,image_verified,小红书年度汇总帖原始口令截图可清晰辨识
196,春天在路上,2026,季节画面,S57,image_verified,小红书晒图帖订单标签可清晰辨识
197,你亦是风景,2026,生活浪漫,S57,image_verified,小红书晒图帖订单标签可清晰辨识
198,曙光在前,2026,前路祝福,S57,image_verified,小红书晒图帖啡快界面可清晰辨识
199,新起点,2026,行动鼓励,S57,image_verified,小红书晒图帖啡快界面可清晰辨识
200,家是唯一城堡,2026,联名主题,S58,image_verified,小红书周杰伦主题啡快口令图可清晰辨识
201,手牵手,2026,联名主题,S58,image_verified,小红书周杰伦主题啡快口令图可清晰辨识
202,回忆里的甜,2026,联名主题,S58,image_verified,小红书周杰伦主题啡快口令图可清晰辨识
203,一路天晴,2026,联名主题,S58,image_verified,小红书周杰伦主题啡快口令图可清晰辨识
204,热爱是生活解药,2026,生活鼓励,S59,social_text,小红书作者正文列为自己收集到的啡快口令
205,心缓自有答案,2026,治愈劝慰,S59,social_text,小红书作者正文列为自己收集到的啡快口令
206,前路漫漫亦灿灿,2026,前路祝福,S59,social_text,小红书作者正文列为自己收集到的啡快口令
207,好运挡不住,2026,美好祝福,S59,social_text,小红书作者正文列为自己收集到的啡快口令
208,无忧亦无惧,2026,生活态度,S59,social_text,小红书作者正文列为自己收集到的啡快口令
209,向前看,2026,行动鼓励,S59,social_text,小红书作者正文列为自己收集到的啡快口令
210,好心情正发芽,2026,治愈劝慰,S59,social_text,小红书作者正文列为自己收集到的啡快口令
211,魔法奇遇,2026,联名主题,S59,social_text,小红书作者正文列为自己收集到的啡快口令
212,注入满满元气,2026,状态鼓励,S59,social_text,小红书作者正文列为自己收集到的啡快口令
213,追光的人会发光,2026,行动鼓励,S59,social_text,小红书作者正文列为自己收集到的啡快口令
214,你自信又坦荡,2026,自我肯定,S59,social_text,小红书作者正文列为自己收集到的啡快口令
215,人生无限可能,2026,未来祝福,S59,social_text,小红书作者正文列为自己收集到的啡快口令
216,保持出发的心情,2026,行动鼓励,S59,social_text,小红书作者正文列为自己收集到的啡快口令
217,美好不期而至,2026,美好祝福,S59,social_text,小红书作者正文列为自己收集到的啡快口令
218,心动不如行动,2026,行动鼓励,S59,social_text,小红书作者正文列为自己收集到的啡快口令
219,自有明月照山河,2026,诗性意象,S59,social_text,小红书作者正文列为自己收集到的啡快口令
220,将来胜过往,2026,未来祝福,S59,social_text,小红书作者正文列为自己收集到的啡快口令
221,成为自己的宇宙,2026,自我肯定,S59,social_text,小红书作者正文列为自己收集到的啡快口令
222,新一年多爱自己,2026,自我肯定,S59,social_text,小红书作者正文列为自己收集到的啡快口令
223,星光不问赶路人,2026,行动鼓励,S59,social_text,小红书作者正文列为自己收集到的啡快口令
224,活在当下,2026,生活态度,S59,social_text,小红书作者正文列为自己收集到的啡快口令
225,分院中,2026,联名主题,S59,social_text,小红书作者正文列为自己收集到的啡快口令
226,一起发光的日子,2026,情感表达,S59,social_text,小红书作者正文列为自己收集到的啡快口令
227,与万事言和,2026,治愈劝慰,S59,social_text,小红书作者正文列为自己收集到的啡快口令
228,执手天涯,2026,情感表达,S59,social_text,小红书作者正文列为自己收集到的啡快口令
229,爱上五月天,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
230,用力唱,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
231,五月天盛夏,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
232,将你紧握,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
233,我不一样,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
234,绝对不放,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
235,爱是宝藏,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
236,去疯去爱,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
237,有失有得,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
238,此刻纯真,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
239,丢掉烦恼,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
240,知足此刻,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
241,一起走吧,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
242,勾勾手,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
243,逆风飞翔,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
244,抓住夏天,2025,联名主题,S60,image_verified,小红书五月天主题帖小票原图可清晰辨识
245,宜见面,2025,情感表达,S61,social_text,小红书作者正文明确写为当天收到的口令
246,答案在路上,2025,治愈劝慰,S61,social_text,小红书作者正文明确写为当天收到的口令
247,好消息加载中,2025,美好祝福,S61,image_verified,正文列出且轮播口令图可清晰辨识
248,不追风时吹吹风,2025,治愈劝慰,S61,image_verified,正文列出且轮播口令图可清晰辨识
249,把快乐加满,2025,美好祝福,S61,image_verified,小红书轮播口令图可清晰辨识
250,每天明媚媚,2025,美好祝福,S61,image_verified,小红书轮播口令图可清晰辨识
251,允许一切发生,2025,治愈劝慰,S61,image_verified,小红书轮播口令图可清晰辨识
252,心愿得偿,2025,美好祝福,S61,image_verified,小红书轮播口令图可清晰辨识
253,这一杯致彩虹,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
254,可爱第一名,2024,自我肯定,S62,image_verified,小红书九页合集口令图可清晰辨识
255,桃气启新芳,2024,节日祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
256,家人健康,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
257,新一年蓄力向上,2024,新年祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
258,向快乐出发,2024,行动鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
259,咖啡自由,2024,生活态度,S62,image_verified,小红书九页合集口令图可清晰辨识
260,兔里兔气,2024,节日祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
261,给你所有好运,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
262,十全十美,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
263,苹苹安安,2024,节日祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
264,有梦可期,2024,未来祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
265,听从内心,2024,生活态度,S62,image_verified,小红书九页合集口令图可清晰辨识
266,总有远方可奔赴,2024,前路祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
267,眉目舒展,2024,治愈劝慰,S62,image_verified,小红书九页合集口令图可清晰辨识
268,随心随性,2024,生活态度,S62,image_verified,小红书九页合集口令图可清晰辨识
269,但行前路不辜负,2024,前路祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
270,开心做自己,2024,自我肯定,S62,image_verified,小红书九页合集口令图可清晰辨识
271,有动力，有方向,2024,行动鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
272,努力沉淀,2024,行动鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
273,新年暴富,2024,新年祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
274,美好正在路上,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
275,热爱经久不息,2024,生活鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
276,今天起 新开始,2024,行动鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
277,时光清浅,2024,诗性意象,S62,image_verified,小红书九页合集口令图可清晰辨识
278,明媚的日子奔来,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
279,所愿皆成真,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
280,逐梦可乘凉,2024,行动鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
281,云朵也自由,2024,自由浪漫,S62,image_verified,小红书九页合集口令图可清晰辨识
282,远方自明朗,2024,前路祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
283,行止由心,2024,生活态度,S62,image_verified,小红书九页合集口令图可清晰辨识
284,万事可期,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
285,各自努力顶峰见,2024,行动鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
286,昂首前瞻,2024,行动鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
287,自然会相逢,2024,情感表达,S62,image_verified,小红书九页合集口令图可清晰辨识
288,过滤烦恼,2024,治愈劝慰,S62,image_verified,小红书九页合集口令图可清晰辨识
289,保持好奇心,2024,生活态度,S62,image_verified,小红书九页合集口令图可清晰辨识
290,风动心也动,2024,情感表达,S62,image_verified,小红书九页合集口令图可清晰辨识
291,心情明媚,2024,状态鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
292,循梦而行,2024,行动鼓励,S62,image_verified,小红书九页合集口令图可清晰辨识
293,美好不期而遇,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
294,万象更新,2024,新年祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
295,无限好运,2024,美好祝福,S62,image_verified,小红书九页合集口令图可清晰辨识
296,彻底放空,2025,治愈劝慰,S63,image_verified,正文指明且小红书轮播口令图可清晰辨识
297,值得记录,2025,生活态度,S63,image_verified,小红书轮播口令图可清晰辨识
298,所愿皆得,2025,美好祝福,S63,image_verified,小红书轮播口令图可清晰辨识
299,无所不达,2025,前路祝福,S63,image_verified,正文指明且小红书轮播口令图可清晰辨识
300,慢慢懂得,2026,生活态度,S64,social_text,小红书帖子标题明确写为星巴克啡快口令
301,得失看淡,2026,联名主题,S65,image_verified,小红书周杰伦主题订单图明确显示啡快口令
302,保持好奇,2026,生活态度,S66,image_verified,小红书双杯实拍图标签可清晰辨识
303,自有天意,2026,生活态度,S66,image_verified,小红书双杯实拍图标签可清晰辨识
304,解锁新成就,2026,行动鼓励,S67,image_verified,小红书菜单样实拍图放大后可清晰辨识
