id,text,source_type,era,emotion_theme,intent,tone,scene,imagery,energy_level,speak_score,sign_feel,delivery_score,distinct_score,scenario_gate,total_score,confidence,final_bucket,editor_note
gen_000024,再等一小会儿,generated_selected,daily_softness,soft_hope,hold,calm,decision_wait,inner_state,low,5,5,4,4,pass,18,core,active,等待场景极准
gen_000025,风会转向,generated_selected,daily_softness,soft_hope,nudge,light,after_setback,wind_light,mid,5,5,4,5,pass,19,core,anchor,短签+画面
gen_000026,好事还在酝酿,generated_selected,daily_softness,soft_hope,hold,warm,decision_wait,gift_luck,low,4,4,4,4,pass,16,good,active,过程感
gen_000027,微光稍后会到,generated_candidate,daily_softness,soft_hope,bless,bright,restart,wind_light,mid,4,4,3,3,pass,14,good,lab,微光类；新鲜度中
gen_000028,缓一缓就会开,generated_selected,daily_softness,soft_hope,nudge,warm,season_change,season_weather,mid,4,4,4,4,pass,16,good,active,季节双关
gen_000029,月光轻拂心事,generated_candidate,daily_softness,daily_romance,mirror,tender,late_night,wind_light,low,3,4,3,3,pass,13,borderline,lab,季节文艺；略书面但可取单
gen_000030,在晨曦里相遇,generated_rejected,daily_softness,daily_romance,delight,tender,self_time,wind_light,low,,,,,hard_reject,,reject,reject,拗口；念出来像作文
gen_000031,人间皆是浪漫,generated_candidate,daily_softness,daily_romance,mirror,warm,self_time,daily_life,low,3,3,3,2,pass,11,borderline,lab,略空
gen_000032,生活值得热爱,generated_candidate,daily_softness,daily_romance,mirror,warm,self_time,daily_life,low,4,4,3,2,pass,13,borderline,lab,熟语；类比热爱经久不息
gen_000033,每一刻都闪光,generated_candidate,daily_softness,daily_romance,delight,bright,self_time,wind_light,mid,3,3,3,2,pass,11,borderline,lab,略口号
gen_000034,世界温柔待你,generated_candidate,daily_softness,daily_romance,bless,tender,self_time,gift_luck,low,3,3,3,2,pass,11,borderline,lab,模板疗愈
gen_000035,慢下来看世界,generated_rejected,daily_softness,daily_romance,hold,calm,self_time,daily_life,low,,,,,hard_reject,,reject,reject,真实样本撞车
gen_000036,奔赴人间烟火,generated_selected,daily_softness,daily_romance,delight,warm,travel,daily_life,mid,4,4,4,4,pass,16,good,active,7字；类比总有远方可奔赴
gen_000037,风里有春天,generated_selected,daily_softness,daily_romance,delight,light,season_change,wind_light,low,5,5,4,5,pass,19,core,anchor,画面轻；签感强
gen_000038,今天适合慢走,generated_selected,daily_softness,daily_romance,hold,calm,commute,daily_life,low,5,4,4,4,pass,17,core,active,生活动作句
gen_000039,阳光刚好路过,generated_selected,daily_softness,daily_romance,delight,tender,self_time,wind_light,low,5,4,4,5,pass,18,core,active,拟人轻
gen_000040,路边有光,generated_selected,daily_softness,daily_romance,mirror,bright,rainy_day,wind_light,low,5,5,4,5,pass,19,core,anchor,极简签
gen_000041,日子有一点甜,generated_selected,daily_softness,daily_romance,delight,warm,self_time,daily_life,low,4,4,4,4,pass,16,good,active,日常可爱
gen_000042,寻常也温柔,generated_selected,daily_softness,daily_romance,mirror,tender,self_time,daily_life,low,4,4,4,4,pass,16,good,active,反宏大
gen_000043,你是最棒的,generated_rejected,daily_softness,self_affirmation,mirror,warm,self_time,inner_state,mid,,,,,hard_reject,,reject,reject,与最棒的自己过近
gen_000044,做你自己就很好,generated_rejected,daily_softness,self_affirmation,mirror,warm,self_time,inner_state,low,,,,,hard_reject,,reject,reject,真实样本撞车
gen_000045,你值得世间美好,generated_candidate,daily_softness,self_affirmation,bless,warm,self_time,gift_luck,low,3,3,3,2,pass,11,borderline,lab,模板疗愈
gen_000046,真正厉害的人,generated_rejected,daily_softness,self_affirmation,mirror,warm,work_pause,inner_state,mid,,,,,hard_reject,,reject,reject,成功学；取单像评判
gen_000047,相信自己必胜,generated_rejected,daily_softness,self_affirmation,nudge,bright,restart,inner_state,high,,,,,hard_reject,,reject,reject,压迫式励志
gen_000048,你终将闪耀,generated_candidate,daily_softness,self_affirmation,bless,bright,restart,wind_light,mid,3,3,2,2,pass,10,reject,reject,过满；总分10边缘
gen_000049,最特别的你,generated_rejected,daily_softness,self_affirmation,mirror,warm,self_time,inner_state,low,,,,,hard_reject,,reject,reject,与样本最特别的存在过近
gen_000050,可爱第一名,generated_rejected,daily_softness,self_affirmation,mirror,playful,self_time,gift_luck,mid,,,,,hard_reject,,reject,reject,真实样本撞车
gen_000051,你已经够好,generated_selected,daily_softness,self_affirmation,mirror,warm,self_time,inner_state,low,5,4,5,4,pass,18,core,active,自我确认
gen_000052,此刻就挺好,generated_selected,daily_softness,self_affirmation,hold,calm,self_time,inner_state,low,5,4,4,4,pass,17,core,active,时间锚定
gen_000053,不必再证明,generated_selected,daily_softness,self_affirmation,soothe,cool,work_pause,inner_state,mid,5,4,5,5,pass,19,core,anchor,取单略酷但成立
gen_000054,自己站着就好,generated_selected,daily_softness,self_affirmation,hold,calm,after_setback,inner_state,low,4,4,4,4,pass,16,good,active,体面安慰
gen_000055,你本来就够,generated_selected,daily_softness,self_affirmation,mirror,tender,self_time,inner_state,low,4,4,4,4,pass,16,good,active,留白确认
gen_000056,这样也很好,generated_selected,daily_softness,self_affirmation,hold,warm,self_time,none_minimal,low,5,4,4,4,pass,17,core,active,接纳现状
gen_000057,重要的是出发,generated_rejected,daily_softness,gentle_departure,nudge,warm,restart,road_distance,mid,,,,,hard_reject,,reject,reject,真实样本撞车
gen_000058,向快乐出发,generated_rejected,daily_softness,gentle_departure,nudge,bright,restart,road_distance,mid,,,,,hard_reject,,reject,reject,真实样本撞车
gen_000059,勇敢向前冲,generated_candidate,daily_softness,gentle_departure,nudge,bright,restart,road_distance,high,4,4,3,3,pass,14,good,lab,略口号；类比冲鸭
gen_000060,今天必须行动,generated_rejected,daily_softness,gentle_departure,nudge,warm,restart,road_distance,high,,,,,hard_reject,,reject,reject,硬命令
gen_000061,别再犹豫了,generated_candidate,daily_softness,gentle_departure,nudge,light,decision_wait,inner_state,mid,3,3,3,3,pass,12,borderline,lab,软劝诫边缘；不如事缓则圆自然
gen_000062,出发就会胜利,generated_rejected,daily_softness,gentle_departure,nudge,bright,restart,road_distance,high,,,,,hard_reject,,reject,reject,成功学结论
gen_000063,大步向前走,generated_candidate,daily_softness,gentle_departure,nudge,warm,restart,road_distance,mid,3,3,3,2,pass,11,borderline,lab,略口号
gen_000064,现在就出发吧,generated_candidate,daily_softness,gentle_departure,nudge,warm,restart,road_distance,mid,3,3,3,2,pass,11,borderline,lab,7字+略命令感
gen_000065,先迈一小步,generated_selected,daily_softness,gentle_departure,nudge,warm,restart,road_distance,mid,5,4,4,4,pass,17,core,active,轻推
gen_000066,慢慢走也行,generated_selected,daily_softness,gentle_departure,hold,calm,restart,road_distance,low,5,5,5,4,pass,19,core,active,允许慢；取单很顺
gen_000067,路还在脚下,generated_selected,daily_softness,gentle_departure,mirror,calm,decision_wait,road_distance,low,4,4,4,4,pass,16,good,active,看当下
gen_000068,先走再说,generated_selected,daily_softness,gentle_departure,nudge,light,restart,road_distance,mid,5,5,4,5,pass,19,core,active,口语签；极自然
gen_000069,今天可以出发,generated_candidate,daily_softness,gentle_departure,nudge,warm,restart,road_distance,mid,4,4,3,3,pass,14,good,lab,可出发不催促
gen_000070,走一步也好,generated_selected,daily_softness,gentle_departure,nudge,tender,restart,road_distance,low,5,4,5,4,pass,18,core,active,低门槛推动
