phrase_id,csv_id,phrase_zh,phrase_en,theme,layer,evidence,approx_period,source_id,colorMoods,colorBan,onlyWhen,action,review_notes
sb_31,31,烦恼退散,Worries scatter,治愈祝福,active,reported_ugc,2020,S07,,,,keep,
sb_32,32,人间值得,The world still holds you,治愈肯定,active,reported_ugc,2020,S07,,,,keep,
sb_33,33,奥利给,Let's go!,网络流行语,active,reported_ugc,2020,S08,,,,keep,
sb_34,34,妙啊妙啊,"Nice, so nice",网络口语,active,reported_ugc,2020,S08,,,,keep,
sb_37,37,重启试试,Reboot and try,日常玩梗,active,reported_image,2021,S09,,,,keep,
sb_39,39,最是一年春好处,Spring at its best,春季诗意,active,reported_image,2021,S09,,,season:spring,keep,
sb_40,40,新一年总晴天,Sunny year ahead,新年祝福,active,reported_image,2021,S09,,,festival:spring_festival,keep,
sb_41,41,冬日暖阳,Winter sun warmth,冬季温暖,active,reported_image,2021,S09,,,season:winter,keep,
sb_42,42,月是秋夜明,"Autumn moon, bright night",秋夜诗意,active,reported_image,2021,S09,,,season:autumn,keep,
sb_43,43,秋天开始喝暖饮,"Warm drinks, autumn starts",秋季饮品,active,reported_image,2021,S09,,,season:autumn,keep,
sb_45,45,美好拉开帷幕,Beauty takes the stage,希望鼓励,active,reported_image,2021,S09,,,,keep,
sb_49,49,平安喜乐,Peace and quiet joy,平安祝福,active,reported_image,2021,S09,,,,keep,
sb_50,50,财神到家,Fortune at the door,财运祝福,active,reported_image,2021,S09,,,,keep,
sb_51,51,岁岁常欢愉,Joy every year,长久祝福,active,reported_image,2021,S09,,,festival:spring_festival,keep,
sb_52,52,年年皆胜意,Winning years ahead,长久祝福,active,reported_image,2021,S09,,,festival:spring_festival,keep,
sb_53,53,暴富暴瘦暴酷,"Rich, lean, cool",夸张祝福,active,reported_image,2021,S09,,,,keep,
sb_58,58,笑出强大,Laugh with power,鼓励玩梗,active,reported_image,2021,S09,,,,keep,
sb_59,59,最靓的仔,Coolest one around,身份自夸,active,reported_image,2021,S09,,,,keep,
sb_60,60,Hi走啦,"Hi, I'm off",口语玩梗,active,reported_image,2021,S09,,,,keep,
sb_61,61,是最喜欢的秋天啊,Favorite season: fall,秋季心情,active,reported_example,2021,S10,,,season:autumn,keep,
sb_64,64,天选之子,Chosen one,好运身份,active,reported_example,2021,S10,,,,keep,
sb_65,65,全能小天才,Little prodigy,身份自夸,active,reported_example,2021,S10,,,,keep,
sb_66,66,甩碗米线,Tossed bowl noodles,食物奇趣,active,reported_example,2021,S11,,,,keep,
sb_67,67,冲鸭冲鸭,Go go duck!,网络鼓励,active,reported_example,2021,S11,,,,keep,
sb_68,68,诸事皆宜,All things auspicious,好运祝福,active,reported_image,2022,S12,,,,keep,
sb_69,69,水逆绕行,"Mercury, step aside",转运祝福,active,reported_image,2022,S12,,,,keep,
sb_70,70,快乐一夏,Summer of joy,夏日祝福,active,reported_image,2022,S12,,,,keep,
sb_71,71,赐予你力量,Power granted you,鼓励祝福,active,reported_image,2022,S12,,,,keep,
sb_73,73,美式发生,Americano happens,咖啡谐音与好运,active,reported_order,2023,S13,,,,keep,
sb_74,74,莫愁前路无知己,Friends await ahead,前路安慰,active,reported_ugc,2023,S13,,,,keep,
sb_76,76,浪漫不止,Romance unending,浪漫祝福,active,reported_ugc,2024,S14,,,,keep,
sb_77,77,好事将至,Grace still on its way,好运预告,active,reported_ugc,2024,S14,,,,keep,
sb_78,78,新年有新意,"Fresh year, fresh spark",新年祝福,active,reported_ugc,2024,S14,,,festival:spring_festival,keep,
sb_80,80,五月被期待填满,"May, full of hope",月份希望,active,reported_ugc,2024,S14,,,month:5,keep,
sb_81,81,厉害了爹地们,Dads on fire,称呼玩梗,active,reported_ugc,2024,S14,,,,keep,
sb_83,83,悄悄惊艳大家,Quietly dazzling all,学习鼓励,active,official_social,2025,S15,,,,keep,
sb_91,91,自由是终极魔法,"Freedom, final magic",哈利波特联名,anchor,image_verified,2025,S16,,,,keep,
sb_93,93,向上生长,Grow upward,成长鼓励,active,social_text,2026,S18,,,,keep,
sb_94,94,今天的你赞赞赞,Triple thumbs-up today,夸赞鼓励,anchor,image_verified,2026,S19,,,,keep,
sb_95,95,万事皆合时宜,All in season,顺遂祝福,anchor,image_verified,2026,S20,,,,keep,
sb_96,96,赤诚亦勇敢,Fierce and sincere,人格鼓励,anchor,image_verified,2026,S20,,,,keep,
sb_99,99,新年万事定称心,"New year, heart's desire",新年祝福,anchor,image_verified,2026,S21,,,festival:spring_festival,keep,
sb_100,100,挂霜予你,Frost for you,秋季温柔,anchor,image_verified,2025,S22,,,,keep,
sb_101,101,新春开门红,Spring opens red-hot,新年祝福,active,social_text,2024,S23,,,festival:spring_festival,keep,
sb_102,102,诸事皆顺,All flows smooth,顺遂祝福,active,social_text,2026,S24,,,,keep,
sb_103,103,take it easy.,Take it easy.,英文鼓励,active,social_text,2026,S25,,,,keep,
sb_104,104,be real.,Be real.,英文鼓励,active,social_text,2026,S25,,,,keep,
sb_105,105,good vibes.,Good vibes.,英文祝福,active,social_text,2026,S25,,,,keep,
sb_106,106,dare to dream.,Dare to dream.,英文鼓励,active,social_text,2026,S25,,,,keep,
sb_107,107,每一次全力以赴,"Every effort, whole heart",努力鼓励,active,social_text,2025,S26,,,,keep,
sb_108,108,愿将来胜过往,May tomorrow outshine yesterday,未来祝福,active,social_text,2025,S26,,,,keep,
sb_109,109,为热爱 敢上场,"For love, take the field",热爱鼓励,active,social_text,2025,S26,,,,keep,
sb_111,111,硕果累累,Heavy with fruit,收获祝福,active,social_text,2025,S26,,,,keep,
sb_112,112,记得微笑,Let the smile come,日常提醒,active,social_text,2026,S27,,,,keep,
sb_113,113,事缓则圆,Haste softens into roundness,从容劝慰,active,social_text,2026,S28,,,,keep,
sb_116,116,适时转弯,Turn in good time,从容劝慰,anchor,image_verified,2026,S30,,,,keep,
sb_117,117,远方很美,Far places shine,远方浪漫,anchor,image_verified,2026,S31,,,,keep,
sb_118,118,烦恼消除术,Worry-dissolving spell,治愈劝慰,anchor,image_verified,2026,S32,,,,keep,
sb_121,121,做你自己就很好,"As you are, enough",自我肯定,active,social_text,2026,S35,,,,keep,
sb_122,122,清风为我翻书,Breeze reads for me,文艺治愈,active,social_text,2026,S36,,,,keep,
sb_123,123,心宽路则宽,"Wide heart, wide road",从容劝慰,active,social_text,2026,S37,,,,keep,
sb_124,124,天高任鸟飞,"Sky high, birds roam",自由鼓励,active,social_text,2026,S38,,,,keep,
sb_125,125,重要的是出发,What matters: leaving,行动鼓励,active,social_text,2026,S39,,,,keep,
sb_128,128,见面是最棒的事,Meeting beats all,相见温情,active,social_text,2026,S41,,,,keep,
sb_129,129,新序章,New chapter,新起点,active,social_text,2026,S42,,,,keep,
sb_130,130,宜相见,Meet today,相见温情,active,social_text,2026,S43,,,,keep,
sb_131,131,轻松自在,Easy and free,从容治愈,active,social_text,2026,S44,,,,keep,
sb_132,132,惬意个登儿,Blissfully laid-back,方言口语,active,social_text,2026,S45,,,,keep,
sb_133,133,一路风光一路诗,"Scenic road, verse road",旅途浪漫,active,social_text,2026,S46,,,,keep,
sb_138,138,大有可为,Much to accomplish,未来鼓励,active,social_text,2026,S49,,,,keep,
sb_140,140,自由在风里,Freedom in the wind,自由浪漫,active,social_text,2026,S51,,,,keep,
sb_141,141,热烈自由,Fierce and free,自由鼓励,active,social_text,2026,S52,,,,keep,
sb_142,142,所行皆坦途,Smooth every path,前路祝福,active,social_text,2026,S53,,,,keep,
sb_143,143,美好常在,Beauty stays near,美好祝福,active,social_text,2026,S54,,,,keep,
sb_144,144,有趣有盼无忧虑,"Fun, hope, no frets",生活祝福,active,social_text,2026,S55,,,,keep,
sb_146,146,大声称赞自己,Praise yourself aloud,自我肯定,anchor,image_verified,2025,S56,,,,keep,
sb_147,147,卓然前行,Walk with distinction,行动鼓励,anchor,image_verified,2025,S56,,,,keep,
sb_148,148,思路清晰,"Mind, crystal clear",状态鼓励,anchor,image_verified,2025,S56,,,,keep,
sb_149,149,愿前程可奔赴,May paths be runnable,前路祝福,anchor,image_verified,2025,S56,,,,keep,
sb_150,150,爱人间烟火,Love street-life glow,生活浪漫,anchor,image_verified,2025,S56,,,,keep,
sb_151,151,状态不掉线,Never drop offline,状态鼓励,anchor,image_verified,2025,S56,,,,keep,
sb_152,152,生活向美而生,Life grows toward beauty,生活浪漫,anchor,image_verified,2025,S56,,,,keep,
sb_153,153,所念皆所愿,"Wishes thought, granted",美好祝福,anchor,image_verified,2025,S56,,,,keep,
sb_154,154,有诗有远方,Verse and far horizons,生活浪漫,anchor,image_verified,2025,S56,,,,keep,
sb_155,155,无往而不胜,Victorious wherever,行动鼓励,anchor,image_verified,2025,S56,,,,keep,
sb_156,156,开启高光模式,Highlight mode on,状态鼓励,anchor,image_verified,2025,S56,,,,keep,
sb_157,157,总有人正年轻,Someone's always young,人生感怀,anchor,image_verified,2025,S56,,,,keep,
sb_158,158,每一刻充满可能,"Each moment, possibility",行动鼓励,anchor,image_verified,2025,S56,,,,keep,
sb_160,160,努力的样子很酷,Trying looks cool,行动鼓励,anchor,image_verified,2025,S56,,,,keep,
sb_161,161,只记欢喜不记忧,"Joy remembered, not sorrow",治愈劝慰,anchor,image_verified,2025,S56,,,,keep,
sb_162,162,夏天拍了拍你,Summer tapped your shoulder,季节画面,anchor,image_verified,2025,S56,,,season:summer,keep,
sb_163,163,心之所愿定如愿,"Heart's wish, fulfilled",美好祝福,anchor,image_verified,2025,S56,,,,keep,
sb_164,164,鸟语花香,"Birdsong, floral air",季节画面,anchor,image_verified,2025,S56,,,,keep,
sb_165,165,前行有曙光,Dawn ahead on the road,行动鼓励,anchor,image_verified,2025,S56,,,,keep,
sb_166,166,大笑是困难解药,"Laughter, hardship's cure",治愈劝慰,anchor,image_verified,2025,S56,,,,keep,
sb_169,169,去踏千重浪,Wade thousand waves,行动鼓励,anchor,image_verified,2025,S56,,,,keep,
sb_171,171,心动由己,Heart moves by you,自我肯定,anchor,image_verified,2025,S56,,,,keep,
sb_172,172,不留憾,Leave no what-ifs,生活态度,anchor,image_verified,2025,S56,,,,keep,
sb_174,174,爱，不止此刻,Love beyond this moment,情感表达,anchor,image_verified,2025,S56,,,,keep,
sb_175,175,心向旷野,Heart toward wild plains,自由浪漫,anchor,image_verified,2025,S56,,,,keep,
sb_176,176,恰到好处,"Just enough, just right",生活态度,anchor,image_verified,2025,S56,,,,keep,
sb_177,177,喝着咖啡吹着风,"Coffee, wind in hair",生活浪漫,anchor,image_verified,2025,S56,,,,keep,
sb_181,181,抬头望天接好运,"Look up, catch luck",美好祝福,anchor,image_verified,2025,S56,,,,keep,
sb_183,183,期待新的故事,New story awaited,美好祝福,anchor,image_verified,2025,S56,,,,keep,
sb_184,184,今日最佳,Today's finest,自我肯定,anchor,image_verified,2025,S56,,,,keep,
sb_186,186,忙有度 闲有趣,"Busy bounded, leisure lit",生活态度,anchor,image_verified,2025,S56,,,,keep,
sb_187,187,去有风的地方,Where the wind lives,自由浪漫,anchor,image_verified,2025,S56,,,,keep,
sb_188,188,小满胜万全,Almost full beats perfect,生活态度,anchor,image_verified,2025,S56,,,,keep,
sb_189,189,恰逢好事,"Good thing, right time",美好祝福,anchor,image_verified,2025,S56,,,,keep,
sb_190,190,你值得玫瑰,Roses owed to you,自我肯定,anchor,image_verified,2025,S56,,,,keep,
sb_194,194,被礼物包围,Wrapped in gifts,节日祝福,anchor,image_verified,2025,S56,,,,keep,
sb_195,195,慢下来看世界,"Slow down, see world",生活态度,anchor,image_verified,2025,S56,,,,keep,
sb_197,197,你亦是风景,You are scenery too,生活浪漫,anchor,image_verified,2026,S57,,,,keep,
sb_198,198,曙光在前,Dawn up ahead,前路祝福,anchor,image_verified,2026,S57,,,,keep,
sb_199,199,新起点,Fresh starting line,行动鼓励,anchor,image_verified,2026,S57,,,,keep,
sb_200,200,家是唯一城堡,"Home, only castle",联名主题,anchor,image_verified,2026,S58,,,,keep,
sb_201,201,手牵手,Hand in hand,联名主题,anchor,image_verified,2026,S58,,,,keep,
sb_205,205,心缓自有答案,"Unhurried heart, quiet knowing",治愈劝慰,active,social_text,2026,S59,,,,keep,
sb_206,206,前路漫漫亦灿灿,"Long road, still glittering",前路祝福,active,social_text,2026,S59,,,,keep,
sb_207,207,好运挡不住,Luck unstoppable,美好祝福,active,social_text,2026,S59,,,,keep,
sb_208,208,无忧亦无惧,"Carefree, unafraid",生活态度,active,social_text,2026,S59,,,,keep,
sb_209,209,向前看,Eyes forward,行动鼓励,active,social_text,2026,S59,,,,keep,
sb_210,210,好心情正发芽,Good mood sprouting,治愈劝慰,active,social_text,2026,S59,,,,keep,
sb_212,212,注入满满元气,Infuse full vitality,状态鼓励,active,social_text,2026,S59,,,,keep,
sb_213,213,追光的人会发光,Light-chasers glow,行动鼓励,active,social_text,2026,S59,,,,keep,
sb_214,214,你自信又坦荡,"You, bold and open",自我肯定,active,social_text,2026,S59,,,,keep,
sb_215,215,人生无限可能,"Life, infinite maybe",未来祝福,active,social_text,2026,S59,,,,keep,
sb_216,216,保持出发的心情,Keep the leaving mood,行动鼓励,active,social_text,2026,S59,,,,keep,
sb_217,217,美好不期而至,Beauty arrives unplanned,美好祝福,active,social_text,2026,S59,,,,keep,
sb_218,218,心动不如行动,Heartbeat to motion,行动鼓励,active,social_text,2026,S59,,,,keep,
sb_219,219,自有明月照山河,Moon lights hills and rivers,诗性意象,active,social_text,2026,S59,,,,keep,
sb_220,220,将来胜过往,Tomorrow beats yesterday,未来祝福,active,social_text,2026,S59,,,,keep,
sb_221,221,成为自己的宇宙,A cosmos of your own,自我肯定,active,social_text,2026,S59,,,,keep,
sb_222,222,新一年多爱自己,"New year, more self-love",自我肯定,active,social_text,2026,S59,,,,keep,
sb_227,227,与万事言和,At peace with all things,治愈劝慰,active,social_text,2026,S59,,,,keep,
sb_228,228,执手天涯,"Hands held, world's end",情感表达,active,social_text,2026,S59,,,,keep,
sb_236,236,去疯去爱,"Run wild, love hard",联名主题,anchor,image_verified,2025,S60,,,,keep,
sb_237,237,有失有得,"Lose some, gain some",联名主题,anchor,image_verified,2025,S60,,,,keep,
sb_238,238,此刻纯真,"This moment, pure",联名主题,anchor,image_verified,2025,S60,,,,keep,
sb_239,239,丢掉烦恼,Drop the worries,联名主题,anchor,image_verified,2025,S60,,,,keep,
sb_240,240,知足此刻,"Enough, right now",联名主题,anchor,image_verified,2025,S60,,,,keep,
sb_241,241,一起走吧,Walk on together,联名主题,anchor,image_verified,2025,S60,,,,keep,
sb_242,242,勾勾手,Pinky promise,联名主题,anchor,image_verified,2025,S60,,,,keep,
sb_243,243,逆风飞翔,Fly against wind,联名主题,anchor,image_verified,2025,S60,,,,keep,
sb_244,244,抓住夏天,Catch the summer,联名主题,anchor,image_verified,2025,S60,,,season:summer,keep,
sb_245,245,宜见面,Good day to meet,情感表达,active,social_text,2025,S61,,,,keep,
sb_246,246,答案在路上,Answers still en route,治愈劝慰,active,social_text,2025,S61,,,,keep,
sb_247,247,好消息加载中,"Good news, buffering",美好祝福,anchor,image_verified,2025,S61,,,,keep,
sb_248,248,不追风时吹吹风,"When still, feel breeze",治愈劝慰,anchor,image_verified,2025,S61,,,,keep,
sb_249,249,把快乐加满,Fill joy to brim,美好祝福,anchor,image_verified,2025,S61,,,,keep,
sb_250,250,每天明媚媚,Bright every day,美好祝福,anchor,image_verified,2025,S61,,,,keep,
sb_251,251,允许一切发生,Let all unfold,治愈劝慰,anchor,image_verified,2025,S61,,,,keep,
sb_252,252,心愿得偿,Wishes come true,美好祝福,anchor,image_verified,2025,S61,,,,keep,
sb_254,254,可爱第一名,Cutest rank one,自我肯定,anchor,image_verified,2024,S62,,,,keep,
sb_255,255,桃气启新芳,"Peach scent, fresh bloom",节日祝福,anchor,image_verified,2024,S62,,,,keep,
sb_256,256,家人健康,Family in health,美好祝福,anchor,image_verified,2024,S62,,,,keep,
sb_257,257,新一年蓄力向上,"New year, charge upward",新年祝福,anchor,image_verified,2024,S62,,,festival:spring_festival,keep,
sb_258,258,向快乐出发,"Toward joy, depart",行动鼓励,anchor,image_verified,2024,S62,,,,keep,
sb_259,259,咖啡自由,Coffee freedom,生活态度,anchor,image_verified,2024,S62,,,,keep,
sb_260,260,兔里兔气,A bit bunny-ish,节日祝福,anchor,image_verified,2024,S62,,,,keep,
sb_261,261,给你所有好运,All luck to you,美好祝福,anchor,image_verified,2024,S62,,,,keep,
sb_262,262,十全十美,Ten of ten perfect,美好祝福,anchor,image_verified,2024,S62,,,,keep,
sb_263,263,苹苹安安,"Peace, apple-blessed",节日祝福,anchor,image_verified,2024,S62,,,,keep,
sb_264,264,有梦可期,Dreams within reach,未来祝福,anchor,image_verified,2024,S62,,,,keep,
sb_265,265,听从内心,Listen inside,生活态度,anchor,image_verified,2024,S62,,,,keep,
sb_266,266,总有远方可奔赴,Always a far place to go,前路祝福,anchor,image_verified,2024,S62,,,,keep,
sb_267,267,眉目舒展,Brows unfurrowed,治愈劝慰,anchor,image_verified,2024,S62,,,,keep,
sb_268,268,随心随性,"Heart-led, free-spirited",生活态度,anchor,image_verified,2024,S62,,,,keep,
sb_269,269,但行前路不辜负,"Walk on, don't betray road",前路祝福,anchor,image_verified,2024,S62,,,,keep,
sb_270,270,开心做自己,Happy being you,自我肯定,anchor,image_verified,2024,S62,,,,keep,
sb_271,271,有动力，有方向,Drive and direction,行动鼓励,anchor,image_verified,2024,S62,,,,keep,
sb_272,272,努力沉淀,Earn your depth,行动鼓励,anchor,image_verified,2024,S62,,,,keep,
sb_273,273,新年暴富,"New year, sudden wealth",新年祝福,anchor,image_verified,2024,S62,,,festival:spring_festival,keep,
sb_274,274,美好正在路上,Beauty still inbound,美好祝福,anchor,image_verified,2024,S62,,,,keep,
sb_275,275,热爱经久不息,Passion long-burning,生活鼓励,anchor,image_verified,2024,S62,,,,keep,
sb_276,276,今天起 新开始,"From today, restart",行动鼓励,anchor,image_verified,2024,S62,,,,keep,
sb_277,277,时光清浅,Time shallow-clear,诗性意象,anchor,image_verified,2024,S62,,,,keep,
sb_278,278,明媚的日子奔来,Bright days rushing in,美好祝福,anchor,image_verified,2024,S62,,,,keep,
sb_279,279,所愿皆成真,"All wished-for, real",美好祝福,anchor,image_verified,2024,S62,,,,keep,
sb_280,280,逐梦可乘凉,Chase dreams in shade,行动鼓励,anchor,image_verified,2024,S62,,,season:summer,keep,
sb_281,281,云朵也自由,Clouds roam free too,自由浪漫,anchor,image_verified,2024,S62,,,,keep,
sb_282,282,远方自明朗,Far shores self-brighten,前路祝福,anchor,image_verified,2024,S62,,,,keep,
sb_286,286,昂首前瞻,"Head high, look on",行动鼓励,anchor,image_verified,2024,S62,,,,keep,
sb_287,287,自然会相逢,You'll meet naturally,情感表达,anchor,image_verified,2024,S62,,,,keep,
sb_288,288,过滤烦恼,Filter the frets,治愈劝慰,anchor,image_verified,2024,S62,,,,keep,
sb_289,289,保持好奇心,Keep curiosity alive,生活态度,anchor,image_verified,2024,S62,,,,keep,
sb_290,290,风动心也动,"Wind moves, heart too",情感表达,anchor,image_verified,2024,S62,,,,keep,
sb_291,291,心情明媚,Mood sunlit,状态鼓励,anchor,image_verified,2024,S62,,,,keep,
sb_292,292,循梦而行,Walk the dream line,行动鼓励,anchor,image_verified,2024,S62,,,,keep,
sb_293,293,美好不期而遇,Beauty meets by chance,美好祝福,anchor,image_verified,2024,S62,,,,keep,
sb_294,294,万象更新,Ten thousand things renew,新年祝福,anchor,image_verified,2024,S62,,,festival:spring_festival,keep,
sb_295,295,无限好运,Luck without limit,美好祝福,anchor,image_verified,2024,S62,,,,keep,
sb_297,297,值得记录,Worth the jotting down,生活态度,anchor,image_verified,2025,S63,,,,keep,
sb_299,299,无所不达,Nothing out of reach,前路祝福,anchor,image_verified,2025,S63,,,,keep,
sb_300,300,慢慢懂得,Slowly understood,生活态度,active,social_text,2026,S64,,,,keep,
sb_302,302,保持好奇,Stay curious,生活态度,anchor,image_verified,2026,S66,,,,keep,
sb_304,304,解锁新成就,New achievement unlocked,行动鼓励,anchor,image_verified,2026,S67,,,,keep,
